Name,Date,Latitude,Longitude,Central Pressure,Max Wind Speed MS,Max Wind Speed KM,Radius 15,Radius 25,Wind Strength,Direction,Movement Speed
YUN-YEUNG,9/4/2023 9:00,20.1,129.9,1004,15,54,-,-,-,NE,12
YUN-YEUNG,9/4/2023 15:00,20.2,130.5,1002,15,54,-,-,-,NE,5
YUN-YEUNG,9/4/2023 21:00,21,130.7,1002,15,54,-,-,-,N,26
YUN-YEUNG,9/5/2023 3:00,21.6,130.8,1002,15,54,-,-,-,NE,5
YUN-YEUNG,9/5/2023 9:00,21.8,130.8,1002,15,54,-,-,-,NNE,4
YUN-YEUNG,9/5/2023 15:00,22.1,131.3,1002,15,54,-,-,-,ENE,8
YUN-YEUNG,9/5/2023 21:00,22.3,131.5,1000,18,65,240,-,-,E,3
YUN-YEUNG,9/6/2023 3:00,23,132.1,998,19,68,240,-,-,NNE,26
YUN-YEUNG,9/6/2023 9:00,25.6,133.1,998,19,68,240,-,-,NNE,56
YUN-YEUNG,9/6/2023 15:00,26.5,134.3,998,19,68,250,-,-,NE,32
YUN-YEUNG,9/6/2023 21:00,27.7,134.8,998,19,68,250,-,-,N,22
YUN-YEUNG,9/7/2023 3:00,28.5,135.4,998,19,68,250,-,-,NE,19
YUN-YEUNG,9/7/2023 9:00,29.7,136.4,998,19,68,250,-,-,NNE,28
YUN-YEUNG,9/7/2023 15:00,30.8,137,998,19,68,250,-,-,NNE,21
YUN-YEUNG,9/7/2023 21:00,32.1,137.3,998,19,68,250,-,-,N,22
YUN-YEUNG,9/8/2023 3:00,32.7,137.3,996,20,72,250,-,-,N,18
YUN-YEUNG,9/8/2023 9:00,33,137.3,996,20,72,250,-,-,N,3
YUN-YEUNG,9/8/2023 15:00,33.1,137.4,1000,18,65,230,-,-,E,3
YUN-YEUNG,9/8/2023 21:00,33.4,137.9,1002,15,54,-,-,-,NE,17
KIROGI,8/29/2023 21:00,11.3,156.6,1004,15,54,-,-,-,WNW,5
KIROGI,8/30/2023 3:00,11.4,156.4,1004,15,54,-,-,-,WNW,4
KIROGI,8/30/2023 9:00,12.2,154.6,1002,15,54,-,-,-,WNW,35
KIROGI,8/30/2023 15:00,12.9,154.3,1000,15,54,-,-,-,NNW,8
KIROGI,8/30/2023 21:00,13.3,154.3,998,18,65,180,-,-,NNW,7
KIROGI,8/31/2023 3:00,14,154.4,998,19,68,180,-,-,NNE,18
KIROGI,8/31/2023 9:00,15,154.7,994,21,76,200,-,-,N,19
KIROGI,8/31/2023 15:00,16.6,154.2,992,23,83,210,-,-,NNW,36
KIROGI,8/31/2023 21:00,17.9,154,992,23,83,210,-,-,NNW,13
KIROGI,9/1/2023 3:00,18.6,153.4,992,23,83,220,-,-,NW,23
KIROGI,9/1/2023 9:00,20.1,152,992,23,83,220,-,-,NW,41
KIROGI,9/1/2023 15:00,21.6,150.9,992,23,83,220,-,-,NW,28
KIROGI,9/1/2023 21:00,23.3,149.3,992,23,83,220,-,-,NW,45
KIROGI,9/2/2023 3:00,24.3,148.4,994,21,76,220,-,-,NW,25
KIROGI,9/2/2023 9:00,25.5,147.7,994,21,76,220,-,-,NNW,29
KIROGI,9/2/2023 15:00,27.1,146.2,998,19,68,210,-,-,NW,49
KIROGI,9/2/2023 21:00,28.6,145,998,19,68,210,-,-,NW,37
KIROGI,9/3/2023 3:00,29.4,143,998,19,68,210,-,-,W,35
KIROGI,9/3/2023 9:00,29.5,142,998,19,68,210,-,-,WNW,14
KIROGI,9/3/2023 15:00,30.2,140.7,1000,15,54,-,-,-,WNW,18
DAMREY,8/24/2023 9:00,16.7,149.5,1002,15,54,-,-,-,N,4
DAMREY,8/24/2023 15:00,16.7,149.8,1002,15,54,-,-,-,S,4
DAMREY,8/24/2023 21:00,16.9,150.3,1002,15,54,-,-,-,ENE,7
DAMREY,8/25/2023 3:00,17.6,151.9,998,19,68,200,-,-,ENE,54
DAMREY,8/25/2023 9:00,18.4,154.6,998,19,68,200,-,-,ENE,52
DAMREY,8/25/2023 15:00,19.8,155.2,998,19,68,200,-,-,NNE,12
DAMREY,8/25/2023 21:00,21.6,155.2,996,20,72,200,-,-,NNW,29
DAMREY,8/26/2023 3:00,22.6,155,996,20,72,200,-,-,NNW,23
DAMREY,8/26/2023 9:00,24.4,154.3,994,21,76,200,-,-,NNE,23
DAMREY,8/26/2023 15:00,26,152.8,990,24,86,200,-,-,NW,50
DAMREY,8/26/2023 21:00,27.4,151.3,990,24,86,200,-,-,NW,38
DAMREY,8/27/2023 3:00,29.4,149.5,990,24,86,200,-,-,NW,59
DAMREY,8/27/2023 9:00,31.6,147.5,990,24,86,210,80,-,NW,69
DAMREY,8/27/2023 15:00,33.7,145.7,990,24,86,210,-,-,NW,46
DAMREY,8/27/2023 21:00,35.7,144.6,985,27,97,220,70,Moderate,NNW,42
DAMREY,8/28/2023 3:00,37.1,144.2,985,27,97,220,70,Moderate,N,19
DAMREY,8/28/2023 9:00,38.4,144.5,985,27,97,220,70,Moderate,NNE,23
DAMREY,8/28/2023 15:00,39.7,145.1,985,27,97,220,70,Moderate,NE,23
DAMREY,8/28/2023 21:00,40.3,147.5,985,27,97,220,70,Moderate,E,31
DAMREY,8/29/2023 3:00,40.7,149.4,985,27,97,220,70,Moderate,E,34
DAMREY,8/29/2023 9:00,41.2,152.4,990,24,86,220,-,-,E,50
DAMREY,8/29/2023 15:00,41.1,156,990,24,86,-,-,-,E,56
SAOLA,8/24/2023 3:00,19,125.3,1002,15,54,-,-,-,NW,5
SAOLA,8/24/2023 9:00,19.6,124.9,1002,15,54,-,-,-,NW,15
SAOLA,8/24/2023 15:00,20.3,124.6,1002,18,65,200,-,-,NNW,18
SAOLA,8/24/2023 21:00,20.3,124.2,1002,18,65,200,-,-,W,10
SAOLA,8/25/2023 3:00,20,123.9,998,19,68,210,-,-,S,7
SAOLA,8/25/2023 9:00,19.9,124,990,24,86,220,-,-,W,3
SAOLA,8/25/2023 15:00,19.7,124,985,27,97,230,60,Moderate,SW,5
SAOLA,8/25/2023 21:00,19.5,123.7,980,29,104,240,70,Moderate,SSW,8
SAOLA,8/26/2023 3:00,19.3,123.4,975,32,115,240,70,Moderate,WSW,7
SAOLA,8/26/2023 9:00,18.5,123.2,970,35,126,250,80,Strong,SSW,15
SAOLA,8/26/2023 15:00,18,123.2,955,40,144,260,80,Strong,S,6
SAOLA,8/26/2023 21:00,17.5,123.1,950,43,155,270,80,Strong,SSW,12
SAOLA,8/27/2023 3:00,17.1,123,945,45,162,280,90,Very Strong,SSW,7
SAOLA,8/27/2023 9:00,16.8,123,935,49,176,290,100,Very Strong,S,7
SAOLA,8/27/2023 15:00,16.5,123,935,49,176,290,100,Very Strong,S,4
SAOLA,8/27/2023 21:00,16.2,123.2,935,49,176,300,110,Very Strong,SSE,8
SAOLA,8/28/2023 3:00,16,123.7,935,49,176,300,120,Very Strong,ESE,8
SAOLA,8/28/2023 9:00,16.7,124.3,945,45,162,300,120,Very Strong,NNE,15
SAOLA,8/28/2023 15:00,17.5,124.3,945,45,162,300,120,Very Strong,N,14
SAOLA,8/28/2023 21:00,17.8,124.1,945,45,162,300,120,Very Strong,N,7
SAOLA,8/29/2023 3:00,18.2,123.9,945,45,162,300,120,Very Strong,NNW,8
SAOLA,8/29/2023 9:00,18.5,123.5,950,43,155,300,120,Strong,WNW,8
SAOLA,8/29/2023 15:00,18.9,123.1,950,43,155,200,70,Strong,NNW,13
SAOLA,8/29/2023 21:00,19.3,122.7,935,49,176,230,100,Very Strong,NW,10
SAOLA,8/30/2023 3:00,19.9,121.9,920,53,191,250,110,Very Strong,WNW,20
SAOLA,8/30/2023 9:00,20.1,121,920,53,191,250,110,Very Strong,W,13
SAOLA,8/30/2023 15:00,20.4,120.4,920,53,191,250,110,Very Strong,NW,12
SAOLA,8/30/2023 21:00,20.7,119.7,920,53,191,250,110,Very Strong,WNW,11
SAOLA,8/31/2023 3:00,20.9,118.7,920,53,191,250,110,Very Strong,W,14
SAOLA,8/31/2023 9:00,21,118.2,920,53,191,250,110,Very Strong,WNW,7
SAOLA,8/31/2023 15:00,21.2,117.8,920,53,191,250,110,Very Strong,NW,5
SAOLA,8/31/2023 21:00,21.5,117.3,925,51,184,250,110,Very Strong,WNW,11
SAOLA,9/1/2023 3:00,21.6,116.8,930,50,180,250,110,Very Strong,WNW,11
SAOLA,9/1/2023 9:00,21.9,116.2,930,50,180,250,110,Very Strong,WNW,14
SAOLA,9/1/2023 15:00,22,115.4,940,47,169,230,90,Very Strong,WNW,18
SAOLA,9/1/2023 21:00,22.1,114.5,940,47,169,230,90,Very Strong,W,17
SAOLA,9/2/2023 3:00,22,113.4,960,39,140,220,80,Strong,W,24
SAOLA,9/2/2023 9:00,21.9,112.8,965,37,133,190,70,Strong,W,10
SAOLA,9/2/2023 15:00,21.7,111.9,980,29,104,180,60,Moderate,WSW,18
SAOLA,9/2/2023 21:00,21.9,111.2,990,24,86,150,-,-,W,14
SAOLA,9/3/2023 3:00,22,110.8,998,15,54,-,-,-,WNW,15
DORA,8/12/2023 9:00,15.5,180,975,32,115,200,70,Moderate,WNW,26
DORA,8/12/2023 15:00,16.3,179.3,975,32,115,260,70,Moderate,NW,23
DORA,8/12/2023 21:00,17,178,975,32,115,200,70,Moderate,WNW,32
DORA,8/13/2023 3:00,17.8,177,975,32,115,200,70,Moderate,NW,20
DORA,8/13/2023 9:00,18.2,175.8,980,29,104,200,70,Moderate,W,21
DORA,8/13/2023 15:00,18.2,174.7,980,29,104,200,70,Moderate,W,21
DORA,8/13/2023 21:00,18.2,173,990,24,86,190,60,-,W,28
DORA,8/14/2023 3:00,18.4,171.4,992,23,83,180,-,-,WNW,29
DORA,8/14/2023 9:00,18.7,170.2,996,20,72,180,-,-,WNW,27
DORA,8/14/2023 15:00,19.2,169.2,996,20,72,180,-,-,WNW,24
DORA,8/14/2023 21:00,19.6,168.9,996,20,72,180,-,-,NNW,8
DORA,8/15/2023 3:00,20.2,168.7,996,20,72,180,-,-,NNW,18
DORA,8/15/2023 9:00,20.4,167.7,998,19,68,170,-,-,W,28
DORA,8/15/2023 15:00,21.4,167.7,1004,15,54,-,-,-,N,20
LAN,8/7/2023 9:00,24.2,148.2,1002,15,54,-,-,-,ESE,33
LAN,8/7/2023 15:00,24.5,149,1002,15,54,-,-,-,NNE,11
LAN,8/7/2023 21:00,24.3,148.6,1002,15,54,-,-,-,SSW,10
LAN,8/8/2023 3:00,23.7,149.1,1002,15,54,-,-,-,E,7
LAN,8/8/2023 9:00,24.8,149,1000,18,65,260,-,-,NE,3
LAN,8/8/2023 15:00,24.6,148.6,1000,18,65,260,-,-,SW,17
LAN,8/8/2023 21:00,24.3,148.2,996,20,72,260,-,-,WSW,7
LAN,8/9/2023 3:00,24.2,147.6,994,21,76,270,-,-,WSW,20
LAN,8/9/2023 9:00,24.4,147.1,994,21,76,270,-,-,W,3
LAN,8/9/2023 15:00,24.5,146.1,985,27,97,300,90,Moderate,W,21
LAN,8/10/2023 3:00,25,144.7,980,29,104,320,100,Moderate,W,13
LAN,8/10/2023 9:00,25.1,143.9,975,32,115,330,110,Moderate,W,6
LAN,8/10/2023 15:00,25.4,143.4,975,32,115,330,120,Moderate,NNW,13
LAN,8/10/2023 21:00,25.8,143.2,960,39,140,350,130,Strong,NW,5
LAN,8/11/2023 3:00,26.3,142.8,950,43,155,370,150,Strong,NW,10
LAN,8/11/2023 15:00,27.4,142.8,940,47,169,270,120,Very Strong,NNW,10
LAN,8/11/2023 21:00,27.9,142.6,940,47,169,270,120,Very Strong,NW,12
LAN,8/12/2023 3:00,28.2,142.3,940,47,169,260,120,Very Strong,N,7
LAN,8/12/2023 9:00,28.6,141.8,950,43,155,260,120,Strong,NW,13
LAN,8/12/2023 15:00,28.8,141.4,955,40,144,260,120,Strong,WNW,10
LAN,8/12/2023 21:00,29.1,140.7,955,40,144,250,120,Strong,WNW,14
LAN,8/13/2023 3:00,29.3,140,965,37,133,240,120,Strong,WNW,13
LAN,8/13/2023 9:00,29.8,139.7,965,37,133,240,120,Strong,NW,10
LAN,8/13/2023 15:00,30.3,139.2,965,37,133,240,120,Strong,NNW,13
LAN,8/13/2023 21:00,30.8,138.5,965,37,133,240,120,Strong,NW,12
LAN,8/14/2023 3:00,31.3,138,965,37,133,240,120,Strong,NNW,17
LAN,8/14/2023 9:00,31.8,137.6,965,37,133,250,110,Strong,NNW,12
LAN,8/14/2023 15:00,32.2,136.9,970,35,126,250,110,Strong,NW,12
LAN,8/14/2023 21:00,32.6,136.6,975,32,115,240,100,Moderate,N,3
LAN,8/15/2023 3:00,33.2,136.1,975,32,115,240,100,Moderate,NW,14
LAN,8/15/2023 9:00,34.1,135.3,980,29,104,230,90,Moderate,NW,19
LAN,8/15/2023 15:00,35,134.9,985,27,97,220,80,Moderate,NNW,17
LAN,8/15/2023 21:00,36,134.7,990,24,86,220,-,-,N,19
LAN,8/16/2023 3:00,37,134.7,990,24,86,220,-,-,N,18
LAN,8/16/2023 9:00,38.1,135.5,990,24,86,220,-,-,NE,28
LAN,8/16/2023 15:00,39.7,136.1,990,24,86,220,-,-,NNE,30
LAN,8/16/2023 21:00,41.2,136.5,990,24,86,220,-,-,NNE,35
LAN,8/17/2023 3:00,42.1,137.1,990,24,86,220,-,-,NNE,20
LAN,8/17/2023 9:00,43.9,138.6,990,24,86,180,-,-,NNE,44
LAN,8/17/2023 15:00,45,139.3,990,24,86,-,-,-,NE,17
KHANUN,7/26/2023 21:00,9.4,140.8,1004,15,54,-,-,-,WNW,6
KHANUN,7/27/2023 3:00,10,140.1,1004,15,54,-,-,-,WNW,19
KHANUN,7/27/2023 9:00,11.3,139.9,1004,15,54,-,-,-,N,41
KHANUN,7/27/2023 15:00,11.9,139.3,1002,15,54,-,-,-,N,7
KHANUN,7/27/2023 21:00,12.1,138.8,1002,15,54,-,-,-,WSW,8
KHANUN,7/28/2023 3:00,12.4,138.2,1000,18,65,310,-,-,NNW,8
KHANUN,7/28/2023 9:00,13.1,137,1000,18,65,310,-,-,WNW,24
KHANUN,7/28/2023 15:00,13.8,136.3,1000,18,65,310,-,-,NW,25
KHANUN,7/28/2023 21:00,14.6,135.6,998,19,68,320,-,-,NNW,19
KHANUN,7/29/2023 3:00,15.2,134.6,996,20,72,340,-,-,WNW,8
KHANUN,7/29/2023 9:00,16.2,134,996,20,72,340,-,-,NNW,34
KHANUN,7/29/2023 15:00,16.7,133.7,994,21,76,350,-,-,NW,18
KHANUN,7/29/2023 21:00,17,133.5,990,24,86,350,-,-,NW,11
KHANUN,7/30/2023 3:00,17.6,133.3,985,27,97,380,80,Moderate,NNW,16
KHANUN,7/30/2023 9:00,18.6,132.9,985,27,97,380,90,Moderate,NNW,13
KHANUN,7/30/2023 15:00,19.6,132.6,980,29,104,380,100,Moderate,NNW,23
KHANUN,7/30/2023 21:00,20.3,132.4,975,32,115,390,110,Moderate,NNW,10
KHANUN,7/31/2023 3:00,21.1,132.1,965,37,133,400,110,Strong,NNW,13
KHANUN,7/31/2023 9:00,22,132.1,955,40,144,400,110,Strong,N,19
KHANUN,7/31/2023 15:00,22.8,131.5,945,45,162,400,120,Very Strong,NW,18
KHANUN,7/31/2023 21:00,23.5,131,940,47,169,410,130,Very Strong,NW,18
KHANUN,8/1/2023 3:00,24.1,130.3,935,49,176,410,130,Very Strong,NW,20
KHANUN,8/1/2023 9:00,24.6,129.4,935,49,176,410,130,Very Strong,WNW,17
KHANUN,8/1/2023 15:00,25,128.7,930,50,180,420,140,Very Strong,WNW,15
KHANUN,8/1/2023 21:00,25.2,128,930,50,180,420,140,Very Strong,W,12
KHANUN,8/2/2023 3:00,25.5,127.4,930,50,180,420,140,Very Strong,NW,11
KHANUN,8/2/2023 9:00,25.7,126.8,930,50,180,420,140,Very Strong,WNW,5
KHANUN,8/2/2023 15:00,26.1,126.1,935,49,176,450,140,Very Strong,WNW,12
KHANUN,8/2/2023 21:00,26.2,125.6,935,49,176,450,140,Very Strong,WNW,8
KHANUN,8/3/2023 3:00,26.5,125,940,47,169,440,140,Very Strong,NW,17
KHANUN,8/3/2023 9:00,26.7,124.8,940,47,169,400,140,Very Strong,N,7
KHANUN,8/3/2023 15:00,26.7,124.3,945,45,162,400,140,Very Strong,W,7
KHANUN,8/3/2023 21:00,26.7,124.3,950,43,155,390,140,Strong,N,2
KHANUN,8/4/2023 3:00,26.9,124.2,960,39,140,390,130,Strong,NW,5
KHANUN,8/4/2023 9:00,27,124.5,965,37,133,360,130,Strong,E,5
KHANUN,8/4/2023 15:00,27.1,125.1,970,35,126,330,150,Strong,ENE,10
KHANUN,8/4/2023 21:00,27.4,125.7,970,35,126,330,150,Strong,ENE,7
KHANUN,8/5/2023 3:00,27.6,126.3,970,35,126,330,150,Strong,NE,12
KHANUN,8/5/2023 9:00,27.7,126.8,970,35,126,340,150,Strong,ESE,10
KHANUN,8/5/2023 15:00,27.8,127.6,970,35,126,340,150,Strong,ENE,11
KHANUN,8/5/2023 21:00,27.8,128.4,970,35,126,340,150,Strong,E,9
KHANUN,8/6/2023 3:00,27.9,129,970,35,126,340,150,Strong,E,9
KHANUN,8/6/2023 9:00,27.7,129.4,970,35,126,340,160,Strong,SE,12
KHANUN,8/6/2023 15:00,27.8,130,970,35,126,340,160,Strong,NE,9
KHANUN,8/6/2023 21:00,27.5,130.5,970,35,126,350,160,Strong,E,8
KHANUN,8/7/2023 3:00,27.9,130.9,970,35,126,350,150,Strong,NE,9
KHANUN,8/7/2023 9:00,27.7,131.1,970,35,126,350,150,Strong,ESE,7
